"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","225","forgot-password-link mène vers /forgot-password","","2026-07-16","passed","2026-07-16","","Bonus - Liens de la page de connexion","",""
"","519","affiche un état vide quand la recherche ne correspond à rien","","2026-07-16","passed","2026-07-16","","APRÈS — cy.login() + Page Object (la solution)","",""
"","642","combiner filtre Envoyés et recherche inexistante donne état vide","","2026-07-16","passed","2026-07-16","","Manipuler la page de transaction","",""
"","762","annuler la modale ferme la modale sans envoyer","","2026-07-16","passed","2026-07-16","","Défi S2 — Partie 2 : nouvelle transaction","",""
"","789","cliquer une transaction ouvre la page de détail","","2026-07-16","passed","2026-07-16","","E3 — APRÈS : suite annotée Allure","",""
"","147","connexion avec le compte principal via find()","","2026-07-16","passed","2026-07-16","","E5 — Stratégie B : tableau + find() (users-array.json)","",""
"","1985","le filtre Reçus affiche des montants positifs","","2026-07-16","passed","2026-07-16","","Défi S2 — Partie 1 : filtres avancés","",""
"","685","le filtre Envoyés réduit la liste à 5 éléments","","2026-07-16","passed","2026-07-16","","E1/E2 — AVANT : données codées en dur","",""
"","738","champs vides : on reste sur /login, aucun appel API","","2026-07-16","passed","2026-07-16","","Robustesse de la connexion - Défi séance 1","",""
"","634","JOHNDOE en majuscules est refusé","","2026-07-16","passed","2026-07-16","","Robustesse de la connexion - Défi séance 1","",""
"","575","recherche sans résultat affiche l'état vide","","2026-07-16","passed","2026-07-16","","E3 — APRÈS : suite annotée Allure","",""
"","296","cliquer Ajouter révèle le formulaire","","2026-07-16","passed","2026-07-16","","Défi S3 — Gestion des bénéficiaires","",""
"","1272","affiche la liste des transactions","","2026-07-16","passed","2026-07-16","","APRÈS — cy.login() + Page Object (la solution)","",""
"","1538","le filtre Envoyés réduit la liste et Réinitialiser la restaure","","2026-07-16","passed","2026-07-16","","E3 — APRÈS : suite annotée Allure","",""
"","634","nom avec espaces autour est refusé","","2026-07-16","passed","2026-07-16","","Robustesse de la connexion - Défi séance 1","",""
"","1018","johndoe accède à son dashboard, janesmith aussi","","2026-07-16","passed","2026-07-16","","E5 — Stratégie A : objet nommé par rôle (users-multi.json)","",""
"","841","ajouter un bénéficiaire déjà présent affiche un message d'erreur","","2026-07-16","passed","2026-07-16","","Défi S3 — Gestion des bénéficiaires","",""
"","204","signup-link mène vers /signup","","2026-07-16","passed","2026-07-16","","Bonus - Liens de la page de connexion","",""
"","712","se connecte avec johndoe","","2026-07-16","passed","2026-07-16","","Débug - connexion","",""
"","769","cliquer une transaction ouvre la page détail","","2026-07-16","passed","2026-07-16","","Manipuler la page de transaction","",""
"","719","Réinitialiser après filtre restaure la liste complète","","2026-07-16","passed","2026-07-16","","Défi S2 — Partie 1 : filtres avancés","",""
"","138","connexion avec le compte bénéficiaire via find()","","2026-07-16","passed","2026-07-16","","E5 — Stratégie B : tableau + find() (users-array.json)","",""
"","168","le bouton soumettre est désactivé sans destinataire","","2026-07-16","passed","2026-07-16","","Défi S2 — Partie 2 : nouvelle transaction","",""
"","217","accès par find() — plus lisible qu'un index","","2026-07-16","passed","2026-07-16","","E5 — Piège : cy.as() avec un tableau","",""
"","937","ajouter janesmith une 2e fois affiche une erreur de doublon","","2026-07-16","passed","2026-07-16","","E5 — Stratégie A : objet nommé par rôle (users-multi.json)","",""
"","506","recherche sans résultat","","2026-07-16","passed","2026-07-16","","E1/E2 — AVANT : résultats CLI bruts","",""
"Vérifie que le login avec fixture redirige vers /dashboard","1207","connexion réussie","","2026-07-16","passed","2026-07-16","","E1/E2 — AVANT : résultats CLI bruts","",""
"","275","le bouton valider est désactivé sans nom d'utilisateur","","2026-07-16","passed","2026-07-16","","Défi S3 — Gestion des bénéficiaires","",""
"","763","une recherche sur un terme présent retourne au moins 1 résultat","","2026-07-16","passed","2026-07-16","","Défi S2 — Partie 1 : filtres avancés","",""
"","221","accès par index — this.users[0] est le premier élément","","2026-07-16","passed","2026-07-16","","E5 — Piège : cy.as() avec un tableau","",""
"","130","connexion avec arrow function — pas de problème this","","2026-07-16","passed","2026-07-16","","Bonus — cy.fixture().then() sans piège this","",""
"","243","chaque compte du tableau peut se connecter au dashboard","","2026-07-16","passed","2026-07-16","","E5 — Stratégie B : tableau + find() (users-array.json)","",""
"","498","renvoie vers /login si on ouvre le dashboard sans être connecté","","2026-07-16","passed","2026-07-16","","Protection des accès - ZotoBank","",""
"","125","connexion via la fixture — pas de donnée codée en dur","","2026-07-16","passed","2026-07-16","","E3 — APRÈS : suite annotée Allure","",""
"","669","la modale de confirmation affiche le bon destinataire et le bon montant","","2026-07-16","passed","2026-07-16","","Défi S2 — Partie 2 : nouvelle transaction","",""
"","313","le filtre statut En attente est actif après sélection","","2026-07-16","passed","2026-07-16","","Défi S2 — Partie 1 : filtres avancés","",""
"","1306","affiche le conteneur de la liste au chargement","","2026-07-16","passed","2026-07-16","","Défi S3 — Gestion des bénéficiaires","",""
"","1372","johndoe voit janesmith dans sa liste de bénéficiaires","","2026-07-16","passed","2026-07-16","","E5 — Stratégie A : objet nommé par rôle (users-multi.json)","",""
"","1053","réduit la liste avec le filtre Envoyés","","2026-07-16","passed","2026-07-16","","APRÈS — cy.login() + Page Object (la solution)","",""
